Key,Type,Desc,Chinese
(已完成),Text,,(已完成)
1,Text,,1
10级开启,Text,,10级开启
20级开启,Text,,20级开启
4级开启,Text,,4级开启
8级开启,Text,,8级开启
BOSS伤害加成,Text,,BOSS伤害加成
Boss技能攻击加成,Text,,Boss技能攻击加成
Debuff时间缩短,Text,,Debuff时间缩短
comhintText_1,Text,,天赋重置
comhintText_10,Text,,领取奖励
comhintText_11,Text,,领取
comhintText_12,Text,,取消
comhintText_13,Text,,出售确认
comhintText_14,Text,,出售
comhintText_15,Text,,取消
comhintText_16,Text,,道具使用功能
comhintText_17,Text,,前往
comhintText_18,Text,,定位
comhintText_19,Text,,游戏公告
comhintText_2,Text,,重置
comhintText_20,Text,,"提示:一个月只能下载一次账号数据
下载后拍卖行和家园仓库数据将清空!
下载后,请勿使用2个设备登录同一个角色,会导致角色锁死.
新区7天内不开放下载服务"
comhintText_3,Text,,取消
comhintText_4,Text,,回收确认
comhintText_5,Text,,回收
comhintText_6,Text,,取消
comhintText_7,Text,,兑换确认
comhintText_8,Text,,兑换
comhintText_9,Text,,取消
comhint_1,Text,,"是否进入副本？
提示:每天只有一次进入机会！"
comhint_10,Text,,"是否分解此宠物？
分解野生宠物可以获得1-3个宠物分解石,分解宝宝宠物可以获得5-15个分解石"
comhint_11,Text,,是否前往充值界面？
comhint_12,Text,,是否前往兑换金币界面？
comhint_13,Text,,宠物栏位每15、25、35、45、55级均会新增一个宠物栏位！
comhint_14,Text,,是否消耗600钻石重置当前天赋！
comhint_15,Text,,"是否确认回收这些装备！
(提示:当前装备上附带宝石或回收的装备为橙色级别以上装备!)"
comhint_16,Text,,"是否进入藏宝洞窟？
提示:每天只有一次进入机会！"
comhint_17,Text,,在此装备上发现了隐藏技能:
comhint_18,Text,,"！
提示:如果再次洗炼隐藏技能有可能消失！"
comhint_19,Text,,是否消耗20%经验兑换:
comhint_2,Text,,是否消耗100神兽碎片兑换神兽？
comhint_20,Text,,金币
comhint_21,Text,,"是否消耗材料兑换一个高级藏宝图？
消耗道具:"
comhint_22,Text,,"1.地图随机刷新出真假宝箱,触碰到真的宝箱可以获得真正的奖励,地图内会出现6个真正的藏宝箱
2.地图只有5分钟时间提供给玩家寻找宝箱,超过时间会自动传送出地图！
3.地图内不能使用任何技能和道具"
