Key,Type,Desc,English
(已完成),Text,,(Completed)
1,Text,,1
10级开启,Text,,10 lv open
20级开启,Text,,20 lv open
4级开启,Text,,4 lv open
8级开启,Text,,8 lv open
BOSS伤害加成,Text,,Armor Dmg To Boss % 
Boss技能攻击加成,Text,,Magic Dmg To Boss % 
Debuff时间缩短,Text,,DEBUFF Length- X SEC
comhintText_1,Text,,Talent resetting
comhintText_10,Text,,Receive reward
comhintText_11,Text,,Confirm
comhintText_12,Text,,Cancel
comhintText_13,Text,,Sale confirmation
comhintText_14,Text,,Confirm
comhintText_15,Text,,Cancel
comhintText_16,Text,,Instructions for using the prop
comhintText_17,Text,,Send to
comhintText_18,Text,,Location
comhintText_19,Text,,Game announcement
comhintText_2,Text,,Confirm
comhintText_20,Text,,"Tip: you can only download account data once a month 
 The items sold by the auction house will be emptied!"
comhintText_3,Text,,Cancel
comhintText_4,Text,,Recycling confirmation
comhintText_5,Text,,Confirm
comhintText_6,Text,,Cancel
comhintText_7,Text,,Redemption confirmation
comhintText_8,Text,,Confirm
comhintText_9,Text,,Cancel
comhint_1,Text,,"Whether to enter the copy?
 Tip: Only one chance to enter every day!"
comhint_10,Text,,"Whether to factor this pet?
 Decompose wild pets to get 1-3 pet decomposition stones, decompose baby pets to get 5-15 decomposition stones"
comhint_11,Text,,Whether to enter the recharge interface?
comhint_12,Text,,Whether to enter the interface of the gold coins exchange?
comhint_13,Text,,"Get a pet field for every 15, 25, 35, 45, 55 level of the role!"
comhint_14,Text,,Whether to spend 600 diamonds to reset talent?
comhint_15,Text,,"Are you sure to recycle these equipment？
 (Tip: There are some gems on the current equipment ,or the recycled equipment is at least orange quality!)"
comhint_16,Text,,"Whether to enter Treasure Cave?
 Tip: Only one chance to enter every day!"
comhint_17,Text,,Hidden skill found on the equipment:
comhint_18,Text,,"!
Tip: the hidden skill would disappear if you continue to refine!"
comhint_19,Text,,Whether exchange 20% experience to: 
comhint_2,Text,,Whether to exchange 100 pieces for a legendary pet?
comhint_20,Text,, gold coins
comhint_21,Text,,"Whether to exchange the materials for an advanced treasure map?
 Props needed:"
comhint_22,Text,,"1. The map will randomly refresh the real and fake treasure chests. You can get real rewards when you touch the real treasure chests. There are only 6 real treasure chests  in the map.
2. There are only  5 minutes for you to find the treasure chest, then you will be sent out!
3. No skills or props can be used in the map"
comhint_23,Text,,Congratulations! Today you have found 
comhint_24,Text,," real treasure chests!
 1-3 treasure chests to get 1 more treasure map
 4-5 treasure chests to get 2 more treasure maps
 6 treasure chests to get 3 more treasure maps"
comhint_25,Text,,"""Whether to delete the account"""
comhint_26,Text,,Whether to sell the prop:
comhint_27,Text,,Whether to sell the equipment:
comhint_28,Text,,"
 (Tip: Some gems are inlaid in the current equipment!)"
comhint_29,Text,,"
 (Tip: Recycling at the equipment recycle businessman can gain experience and equipment debris!)"
comhint_3,Text,,Whether to release this pet?
comhint_30,Text,,"
 (Tip: Recycling at the equipment recycle businessman can gain experience and equipment debris!)
 You can get gold coins:"
comhint_31,Text,,Click to save the coordinates to be transferred!
comhint_32,Text,,Your current location is: 
comhint_33,Text,,"
 Coordinate points: "
comhint_34,Text,,Whether to consume 300 diamonds to empty all times
comhint_35,Text,,"Congratulations on winning the battle of TIANTI today
 Winning reward: gold coin * 30000"
comhint_36,Text,,"I'm sorry you didn't beat the pet team
 Failure reward: gold coin * 10000"
comhint_37,Text,,Whether to consume 30000 gold coins to refresh the current random ranking
comhint_38,Text,,Please ask your pet to fight again before the current skills and attributes of the pet will take effect
comhint_39,Text,,"In the game, it supports to turn on the stand-alone mode. After turning on, all the weak networking functions in the game will be automatically blocked! 
 (click the avatar to open the setting interface and check the stand-alone mode)"
comhint_4,Text,,"Whether to enter the copy?
 Tip: Only one chance to enter every day!"
comhint_40,Text,,I got it!
comhint_41,Text,,Selling home props will get construction funds:
comhint_5,Text,,"1. The player needs to kill the monsters to collect the secret value within a limited time. When the secret value reaches 500 points, BOSS will be summoned.
2. After killing the BOSS,  you can enter the next tier. The higher tier of the mystery, the more difficult it is.
3.The mystery shards will be dropped in the Grand Mystery. You can redeem rewards at the mystery businessman!
After  you kill BOSS in Grand Mystery, you can continue to challenge next tier. If you failed, you can only wait for tomorrow!"
comhint_6,Text,,Whether to receive the Tier 
comhint_7,Text,, reward of Grand Mystery?
comhint_8,Text,,Whether to enter the interface of the gold coins exchange?
comhint_9,Text,,Whether to spend 600 diamonds to reset SP?
hint_1,Text,,"Full backpack, please reserve at least 1 space!"
hint_10,Text,,Skill casting is interrupted
hint_100,Text,,Summon is in CD!
hint_101,Text,,You have downloaded the account
hint_102,Text,,", please create a "
hint_103,Text,, role to download this data
hint_104,Text,,Server is not connected!
hint_105,Text,,"The world level has been completely released, so it cannot be redeemed!"
hint_106,Text,,Server is not connected!
hint_107,Text,,"The world level has been completely released, so it cannot be redeemed!"
hint_108,Text,,Insufficient experience to redeem!
hint_109,Text,,Not reach the world level!
hint_11,Text,,Please select the target
hint_110,Text,,"The world level has been completely released, so it cannot be redeemed!"
hint_111,Text,,Auto-hang is off!
hint_112,Text,,Auto-hang is on!
hint_113,Text,,No draw for free below level 8!
hint_114,Text,,You have turned off networking! This function is only available when you turn on it in the game settings!
hint_115,Text,,You can turn on the theater activity function when you get LV 9!
hint_116,Text,,You consume 
hint_117,Text,, experience to exchange 
hint_118,Text,, gold coins
hint_119,Text,,Insufficient experience to redeem!
hint_12,Text,,You need to get closer
hint_120,Text,,Not reach the world level!
hint_121,Text,,The prop cannot be sold at the auction house!
hint_122,Text,,Cancel skill casting
hint_123,Text,,Your treasure chest has been snatched by others!
hint_124,Text,,"Your level does not meet the chapter requirements, and you cannot switch to this chapter!"
hint_125,Text,,You have opened a corroded treasure chest and it seems to have a bad effect on you!
hint_126,Text,,You have opened a corroded treasure chest and it seems to have a bad effect on you!
hint_127,Text,,Please do not enter Chinese characters!
hint_128,Text,,Account cannot be empty
hint_129,Text,,Please do not enter Chinese characters!
hint_13,Text,,You have learned this manufacturing skill!
hint_130,Text,,Please check the password! The two passwords are inconsistent
hint_131,Text,,Insufficient energy 
hint_132,Text,," , it recovers 1 every 5 minutes"
hint_133,Text,,Password cannot be empty
hint_134,Text,,Account cannot be empty
hint_135,Text,,Tip: Please improve your role level to LV 
hint_136,Text,, to continue to next level of the building
hint_137,Text,,Get prosperity:
hint_138,Text,,Insufficient gold coins!
hint_139,Text,,Please wait for the countdown to finish!
hint_14,Text,,Insufficient role level!
hint_140,Text,,"You have run out of rewards today, please come back tomorrow!"
hint_141,Text,,Please wait for the countdown to finish!
hint_142,Text,,"You have run out of rewards today, please come back tomorrow!"
hint_143,Text,,This warehouse field will open after the adventurer level reach to level 3!
hint_144,Text,,This warehouse field will open after the adventurer level reach to level 6!
hint_145,Text,,This warehouse field will open after the adventurer level reach to level 8!
hint_146,Text,,"Sorting out, please try again later!"
hint_147,Text,,Retrieve combat pet successfully!
hint_148,Text,,Successful synthesis! Please check it in the pet list
hint_149,Text,,The role level doesn't reach LV 20
hint_15,Text,,Insufficient gold coins to learn!
hint_150,Text,,You have a new mail! Please go to the mail office of Halo Central City to pick it up
hint_151,Text,,Please click [Start Adventure] in the bottom right corner to enter the adventure map to complete the mission!
hint_152,Text,,Insufficient backpack space! Please reserve at least 
hint_153,Text,, places
hint_154,Text,,"The reward has been received, please do not repeat it!"
hint_155,Text,,The maximum number of single purchase groups is 
hint_156,Text,,Insufficient backpack space! Please reserve at least 
hint_157,Text,, places
hint_158,Text,,Good luck! Congratulations on getting one piece of legendary pet after you complete the active mission!
hint_159,Text,,The number of props sold cannot be 0
hint_16,Text,,No pet here!
hint_160,Text,,Server is not connected!
hint_161,Text,,Only 8 props can be listed
hint_162,Text,,Selling pet skill book props requires the role level reach LV 20
hint_163,Text,,Please select the props to sell first
hint_164,Text,,The number of redeemed diamonds cannot be 0
hint_165,Text,,You may not be connected to the server! The number of gold coins exchanged cannot be 0
hint_166,Text,,Successful redemption! You exchanged 
hint_167,Text,, gold coins
hint_168,Text,,Successful activation of sprite attributes!
hint_169,Text,,Passive sprite cannot be activated!
hint_17,Text,,The skill triggers Tactician!
hint_170,Text,,The sprite has not been activated yet!
hint_171,Text,,"The payment is successful! The diamonds has been successfully credited, please check"
hint_172,Text,,No synthesize! Combat pet is in the synthetic pets
hint_173,Text,,The legendary pet cannot be synthesized!
hint_174,Text,,Get 
hint_175,Text,,
hint_176,Text,, proficiency points
hint_177,Text,,"The pet fields are currently full! Get a pet field for every 15, 25, 35, 45, 55 level of the role!"
hint_178,Text,,Congratulations! A new trial level has been activated!
hint_179,Text,,
hint_18,Text,,Congratulations! Learn to make prop:
hint_180,Text,,"The target cannot be captured, the capture is invalid!"
hint_181,Text,,Your movement range is too big and the target gets away
hint_182,Text,,You need to reach LV 10(级数) to capture!
hint_183,Text,,
hint_184,Text,,The pet field is currently full!
hint_185,Text,,Your movement range is too big and the target gets away
