Key,Type,Desc,Japanese
(已完成),Text,,
1,Text,,
10级开启,Text,,
20级开启,Text,,
4级开启,Text,,
8级开启,Text,,
BOSS伤害加成,Text,,
Boss技能攻击加成,Text,,
Debuff时间缩短,Text,,
comhintText_1,Text,,
comhintText_10,Text,,
comhintText_11,Text,,
comhintText_12,Text,,
comhintText_13,Text,,
comhintText_14,Text,,
comhintText_15,Text,,
comhintText_16,Text,,
comhintText_17,Text,,
comhintText_18,Text,,
comhintText_19,Text,,
comhintText_2,Text,,
comhintText_20,Text,,
comhintText_3,Text,,
comhintText_4,Text,,
comhintText_5,Text,,
comhintText_6,Text,,
comhintText_7,Text,,
comhintText_8,Text,,
comhintText_9,Text,,
comhint_1,Text,,
comhint_10,Text,,
comhint_11,Text,,
comhint_12,Text,,
comhint_13,Text,,
comhint_14,Text,,
comhint_15,Text,,
comhint_16,Text,,
comhint_17,Text,,
comhint_18,Text,,
comhint_19,Text,,
comhint_2,Text,,
comhint_20,Text,,
comhint_21,Text,,
comhint_22,Text,,
comhint_23,Text,,
comhint_24,Text,,
comhint_25,Text,,
comhint_26,Text,,
comhint_27,Text,,
comhint_28,Text,,
comhint_29,Text,,
comhint_3,Text,,
comhint_30,Text,,
comhint_31,Text,,
comhint_32,Text,,
comhint_33,Text,,
comhint_34,Text,,
comhint_35,Text,,
comhint_36,Text,,
comhint_37,Text,,
comhint_38,Text,,
comhint_39,Text,,
comhint_4,Text,,
comhint_40,Text,,
comhint_41,Text,,
comhint_5,Text,,
comhint_6,Text,,
comhint_7,Text,,
comhint_8,Text,,
comhint_9,Text,,
hint_1,Text,,
hint_10,Text,,
hint_100,Text,,
hint_101,Text,,
hint_102,Text,,
hint_103,Text,,
hint_104,Text,,
hint_105,Text,,
hint_106,Text,,
hint_107,Text,,
hint_108,Text,,
hint_109,Text,,
hint_11,Text,,
hint_110,Text,,
hint_111,Text,,
hint_112,Text,,
hint_113,Text,,
hint_114,Text,,
hint_115,Text,,
hint_116,Text,,
hint_117,Text,,
hint_118,Text,,
hint_119,Text,,
hint_12,Text,,
hint_120,Text,,
hint_121,Text,,
hint_122,Text,,
hint_123,Text,,
hint_124,Text,,
hint_125,Text,,
hint_126,Text,,
hint_127,Text,,
hint_128,Text,,
hint_129,Text,,
hint_13,Text,,
hint_130,Text,,
hint_131,Text,,
hint_132,Text,,
hint_133,Text,,
hint_134,Text,,
hint_135,Text,,
hint_136,Text,,
hint_137,Text,,
hint_138,Text,,
hint_139,Text,,
hint_14,Text,,
hint_140,Text,,
hint_141,Text,,
hint_142,Text,,
hint_143,Text,,
hint_144,Text,,
hint_145,Text,,
hint_146,Text,,
hint_147,Text,,
hint_148,Text,,
hint_149,Text,,
hint_15,Text,,
hint_150,Text,,
hint_151,Text,,
hint_152,Text,,
hint_153,Text,,
hint_154,Text,,
hint_155,Text,,
hint_156,Text,,
hint_157,Text,,
hint_158,Text,,
hint_159,Text,,
hint_16,Text,,
hint_160,Text,,
hint_161,Text,,
hint_162,Text,,
hint_163,Text,,
hint_164,Text,,
hint_165,Text,,
hint_166,Text,,
hint_167,Text,,
hint_168,Text,,
hint_169,Text,,
hint_17,Text,,
hint_170,Text,,
hint_171,Text,,
hint_172,Text,,
hint_173,Text,,
hint_174,Text,,
hint_175,Text,,
hint_176,Text,,
hint_177,Text,,
hint_178,Text,,
