Key,Type,Desc,Chinese,English,Japanese
(已完成),Text,,(已完成),(Completed),
1,Text,,1,1,
10级开启,Text,,10级开启,10 lv open,
20级开启,Text,,20级开启,20 lv open,
4级开启,Text,,4级开启,4 lv open,
8级开启,Text,,8级开启,8 lv open,
BOSS伤害加成,Text,,BOSS伤害加成,Armor Dmg To Boss % ,
Boss技能攻击加成,Text,,Boss技能攻击加成,Magic Dmg To Boss % ,
Debuff时间缩短,Text,,Debuff时间缩短,DEBUFF Length- X SEC,
comhintText_1,Text,,天赋重置,Talent resetting,
comhintText_10,Text,,领取奖励,Receive reward,
comhintText_11,Text,,领取,Confirm,
comhintText_12,Text,,取消,Cancel,
comhintText_13,Text,,出售确认,Sale confirmation,
comhintText_14,Text,,出售,Confirm,
comhintText_15,Text,,取消,Cancel,
comhintText_16,Text,,道具使用功能,Instructions for using the prop,
comhintText_17,Text,,前往,Send to,
comhintText_18,Text,,定位,Location,
comhintText_19,Text,,游戏公告,Game announcement,
comhintText_2,Text,,重置,Confirm,
comhintText_20,Text,,"提示:一个月只能下载一次账号数据
下载后拍卖行和家园仓库数据将清空!
下载后,请勿使用2个设备登录同一个角色,会导致角色锁死.
新区7天内不开放下载服务","Tip: you can only download account data once a month 
 The items sold by the auction house will be emptied!",
comhintText_3,Text,,取消,Cancel,
comhintText_4,Text,,回收确认,Recycling confirmation,
comhintText_5,Text,,回收,Confirm,
comhintText_6,Text,,取消,Cancel,
comhintText_7,Text,,兑换确认,Redemption confirmation,
comhintText_8,Text,,兑换,Confirm,
comhintText_9,Text,,取消,Cancel,
comhint_1,Text,,"是否进入副本？
提示:每天只有一次进入机会！","Whether to enter the copy?
 Tip: Only one chance to enter every day!",
comhint_10,Text,,"是否分解此宠物？
分解野生宠物可以获得1-3个宠物分解石,分解宝宝宠物可以获得5-15个分解石","Whether to factor this pet?
 Decompose wild pets to get 1-3 pet decomposition stones, decompose baby pets to get 5-15 decomposition stones",
comhint_11,Text,,是否前往充值界面？,Whether to enter the recharge interface?,
comhint_12,Text,,是否前往兑换金币界面？,Whether to enter the interface of the gold coins exchange?,
comhint_13,Text,,宠物栏位每15、25、35、45、55级均会新增一个宠物栏位！,"Get a pet field for every 15, 25, 35, 45, 55 level of the role!",
comhint_14,Text,,是否消耗600钻石重置当前天赋！,Whether to spend 600 diamonds to reset talent?,
comhint_15,Text,,"是否确认回收这些装备！
(提示:当前装备上附带宝石或回收的装备为橙色级别以上装备!)","Are you sure to recycle these equipment？
 (Tip: There are some gems on the current equipment ,or the recycled equipment is at least orange quality!)",
comhint_16,Text,,"是否进入藏宝洞窟？
提示:每天只有一次进入机会！","Whether to enter Treasure Cave?
 Tip: Only one chance to enter every day!",
comhint_17,Text,,在此装备上发现了隐藏技能:,Hidden skill found on the equipment:,
comhint_18,Text,,"！
提示:如果再次洗炼隐藏技能有可能消失！","!
Tip: the hidden skill would disappear if you continue to refine!",
comhint_19,Text,,是否消耗20%经验兑换:,Whether exchange 20% experience to: ,
comhint_2,Text,,是否消耗100神兽碎片兑换神兽？,Whether to exchange 100 pieces for a legendary pet?,
comhint_20,Text,,金币, gold coins,
comhint_21,Text,,"是否消耗材料兑换一个高级藏宝图？
消耗道具:","Whether to exchange the materials for an advanced treasure map?
 Props needed:",
comhint_22,Text,,"1.地图随机刷新出真假宝箱,触碰到真的宝箱可以获得真正的奖励,地图内会出现6个真正的藏宝箱
2.地图只有5分钟时间提供给玩家寻找宝箱,超过时间会自动传送出地图！
3.地图内不能使用任何技能和道具","1. The map will randomly refresh the real and fake treasure chests. You can get real rewards when you touch the real treasure chests. There are only 6 real treasure chests  in the map.
2. There are only  5 minutes for you to find the treasure chest, then you will be sent out!
3. No skills or props can be used in the map",
comhint_23,Text,,恭喜你!今天你寻找到了,Congratulations! Today you have found ,
comhint_24,Text,,"个真实宝箱！
寻找1-3个宝箱获得1张藏宝图 
寻找4-5个宝箱获得2张藏宝图 
寻找6个宝箱获得3张藏宝图"," real treasure chests!
 1-3 treasure chests to get 1 more treasure map
 4-5 treasure chests to get 2 more treasure maps
 6 treasure chests to get 3 more treasure maps",
comhint_25,Text,,"""是否删除此账号""","""Whether to delete the account""",
comhint_26,Text,,是否出售道具:,Whether to sell the prop:,
comhint_27,Text,,是否出售装备:,Whether to sell the equipment:,
comhint_28,Text,,"
(提示:当前装备上附带宝石!)","
 (Tip: Some gems are inlaid in the current equipment!)",
